text,label,Disease
"Symptoms of porphyria can vary widely in severity, by type and among individuals. Some people with the gene mutation that cause porphyria never have any symptoms. Acute porphyria Acute porphyria include form of the disease that typically cause nervous system symptoms, which appear quickly and can be severe. Symptoms may last day to week and usually improve slowly after the attack. Acute intermittent porphyria is the common form of acute porphyria. Signs and symptom of acute porphyria may include: Severe abdominal pain Pain in your chest, leg or back Constipation or diarrhea Nausea and vomiting Muscle pain, tingling, numbness, weakness or paralysis Red or brown urine Mental changes, such a anxiety, confusion, hallucinations, disorientation or paranoia Breathing problem Urination problem Rapid or irregular heartbeat you can feel (palpitations) High blood pressure Seizures Cutaneous porphyria Cutaneous porphyria include form of the disease that cause skin symptom a a result of sensitivity to sunlight, but these form don't usually affect your nervous system. Porphyria cutanea tarda (PCT) is the most common type of all the porphyrias. As a result of sun exposure, you may experience: Sensitivity to the sun and sometimes artificial light, causing burning pain Sudden painful skin redness (erythema) and swelling (edema Blisters on exposed skin, usually the hands, arm and face Fragile thin skin with change in skin color (pigment) Itching Excessive hair growth in affected area Red or brown urine",780,Porphyria
"The sign and symptom of celiac disease can vary greatly and differ in child and adults. Digestive sign and symptom for adult include: Diarrhea Fatigue Weight loss Bloating and gas Abdominal pain Nausea and vomiting Constipation However, more than half the adult with celiac disease have sign and symptom unrelated to the digestive system, including: Anemia, usually from iron deficiency Loss of bone density (osteoporosis) or softening of bone (osteomalacia) Itchy, blistery skin rash (dermatitis herpetiformis) Mouth ulcer Headaches and fatigue Nervous system injury, including numbness and tingling in the foot and hands, possible problem with balance, and cognitive impairment Joint pain Reduced functioning of the spleen (hyposplenism) Children Children with celiac disease are more likely than adult to have digestive problems, including: Nausea and vomiting Chronic diarrhea Swollen belly Constipation Gas Pale, foul-smelling stool The inability to absorb nutrient might result in: Failure to thrive for infant Damage to tooth enamel Weight loss Anemia Irritability Short stature Delayed puberty Neurological symptoms, including attention-deficit/hyperactivity disorder (ADHD), learning disabilities, headaches, lack of muscle coordination and seizure Dermatitis herpetiformis Gluten intolerance can cause this itchy, blistering skin disease. The rash usually occurs on the elbows, knees, torso, scalp and buttocks. This condition is often associated with change to the lining of the small intestine identical to those of celiac disease, but the skin condition might not cause digestive symptoms. Doctors treat dermatitis herpetiformis with a gluten-free diet or medication, or both, to control the rash.",179,Celiac Disease
"I have a really high fever, and I've been perspiring a lot. I've also been experiencing chills, vomiting, and severe body itchiness. I feel queasy and have a headache. My muscle are in excruciating discomfort.",596,Malaria
"vomiting,dehydration,diarrhoea",402,Gastroenteritis
"Bulimia sign and symptom may include: Being preoccupied with your body shape and weight Living in fear of gaining weight Repeated episode of eating abnormally large amount of food in one sitting Feeling a loss of control during bingeing — like you can't stop eating or can't control what you eat Forcing yourself to vomit or exercising too much to keep from gaining weight after bingeing Using laxatives, diuretic or enema after eating when they're not needed Fasting, restricting calorie or avoiding certain food between binge Using dietary supplement or herbal product excessively for weight loss The severity of bulimia is determined by the number of time a week that you purge, usually at least once a week for at least three months.",156,Bulimia
"itching,vomiting,yellowish skin,nausea,loss of appetite,abdominal pain,yellowing of eyes",207,Chronic Cholestasis
I have a skin rash that get worse in the winter when the air is dry. I have to moisturize more regularly and use humidifiers to keep my skin moisturized. I also have joint pain.,822,Psoriasis
"breathlessness,sweating,chest pain",447,Heart Attack
"continuous sneezing,chill,cough,high fever,headache,swelled lymph nodes,malaise,phlegm,throat irritation,redness of eyes,sinus pressure,runny nose,congestion,chest pain,loss of smell,muscle pain",234,Common Cold
"skin rash,pus filled pimples,blackhead",7,Acne
"I have a lot of pain in my legs, especially when I stand or walk for a long time. The skin on my calf is also swollen and red.",1047,Varicose Veins
"chill,vomiting,high fever,sweating,headache,nausea,diarrhoea,muscle pain",596,Malaria
"I'm always tired, my mouth taste bad, and my throat itches. My muscle are hot and hurt, and sometimes my whole body cramp up.",35,Allergy
"continuous sneezing,chill,watering from eyes",35,Allergy
"burning micturition,bladder discomfort,foul smell of urine,continuous feel of urine",1035,Urinary Tract Infection
"headache,dizziness,loss of balance,lack of concentration",501,Hypertension 
"Traveler's diarrhea may begin abruptly during your trip or shortly after you return home. Most people improve within 1 to 2 day without treatment and recover completely within a week. However, you can have multiple episode of traveler's diarrhea during one trip. The most common sign and symptom of traveler's diarrhea are: Abrupt onset of passage of three or more looser watery stool a day An urgent need to defecate Abdominal cramp Nausea Vomiting Fever Sometimes, people experience moderate to severe dehydration, persistent vomiting, a high fever, bloody stools, or severe pain in the abdomen or rectum. If you or your child experience any of these sign or symptom or if the diarrhea last longer than a few days, it's time to see a doctor.",1009,Travelers Diarrhea
"I have been experiencing muscle pain and headache. The muscle pain is like a constant ache that is worse when I try to use the affected muscles. I also have small red spot developing on my face, neck and arms.",275,Dengue
"vomiting,yellowish skin,nausea,loss of appetite,abdominal pain,yellowing of eyes",207,Chronic Cholestasis
"joint pain,vomiting,fatigue,yellowish skin,dark urine,loss of appetite,abdominal pain,yellowing of eyes",467,Hepatitis D
"chill,vomiting,high fever,sweating,headache,nausea,diarrhoea,muscle pain",596,Malaria
"joint pain,vomiting,yellowish skin,dark urine,nausea,abdominal pain,diarrhoea,mild fever,yellowing of eyes,muscle pain",464,Hepatitis A
"I've been having neck pain, and I've been feeling lightheaded and shaky. I also have a dry cough, and I'm not a strong a I used to be.",186,Cervical Spondylosis
"joint pain,vomiting,yellowish skin,dark urine,nausea,loss of appetite,abdominal pain,diarrhoea,mild fever,yellowing of eyes,muscle pain",464,Hepatitis A
"In the month or year leading up to menopause (perimenopause), you might experience these sign and symptoms: Irregular period Vaginal dryness Hot flash Chills Night sweat Sleep problem Mood change Weight gain and slowed metabolism Thinning hair and dry skin Loss of breast fullness Signs and symptoms, including change in menstruation can vary among women. Most likely, you'll experience some irregularity in your period before they end. Skipping period during perimenopause is common and expected. Often, menstrual period will skip a month and return, or skip several month and then start monthly cycle again for a few months. Periods also tend to happen on shorter cycles, so they are closer together. Despite irregular periods, pregnancy is possible. If you've skipped a period but aren't sure you've started the menopausal transition, consider a pregnancy test.",615,Menopause
"chill,vomiting,high fever,sweating,headache,nausea,diarrhoea,muscle pain",596,Malaria
I have difficulty breathing and shortness of breath. I cough uncontrollably and my eye get itchy and swell up. I also get swelling on my face and other body parts.,35,Allergy
"stomach pain,acidity,ulcers on tongue,vomiting,cough,chest pain",412,Gerd
"itching,skin rash,stomach pain,burning micturition,spotting  urination",308,Drug Reaction
"skin rash,pus filled pimples,blackhead,scurring",7,Acne
"itching,vomiting,yellowish skin,nausea,loss of appetite,abdominal pain",207,Chronic Cholestasis
"vomiting,headache,nausea,loss of balance,unsteadiness",0,(Vertigo) Paroymsal  Positional Vertigo
"burning micturition,bladder discomfort,foul smell of urine,continuous feel of urine",1035,Urinary Tract Infection
"yellowish skin,abdominal pain,swelling of stomach,distention of abdomen,history of alcohol consumption,fluid overload",33,Alcoholic Hepatitis
"skin rash,chill,joint pain,vomiting,fatigue,high fever,headache,nausea,loss of appetite,pain behind the eyes,back pain,malaise,muscle pain,red spots over body",275,Dengue
"itching,skin rash,nodal skin eruptions,dischromic  patches",394,Fungal Infection
"sunken eyes,dehydration,diarrhoea",402,Gastroenteritis
"vomiting,yellowish skin,abdominal pain,swelling of stomach,distention of abdomen,history of alcohol consumption,fluid overload",33,Alcoholic Hepatitis
"fatigue,cramp,bruising,obesity,swollen legs,swollen blood vessels,prominent veins on calf",1047,Varicose Veins
"muscle weakness,stiff neck,swelling joints,movement stiffness,painful walking",72,Arthritis
"itching,skin rash,fatigue,lethargy,high fever,headache,loss of appetite,mild fever,swelled lymph nodes,malaise,red spots over body",193,Chicken Pox
"muscle weakness,swelling joints,movement stiffness,painful walking",72,Arthritis
